Work_ID,Documents_Submitted,NOC_Status,Compliance_Score,Is_Duplicate_Work,Cost_Anomaly_Flag,Overall_Fraud_Risk_Score,Work_Description_Full,Inspection_Summary,Issues_Encountered
WS/MP620/2024-2025/133166,"Site Plan,Utilization Cert,NOC",Not_Required,70.63,False,False,63.8,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,Standard inspection passed,
WS/MP620/2025-2026/133167,Site Plan,Pending,63.06,False,False,0.02,Construction of College room of  CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work,Standard inspection passed,
WS/MP620/2024-2025/133190,"NOC,Site Plan",Received,89.85,False,False,21.49,Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad,Standard inspection passed,
WS/MP620/2025-2026/133191,"Utilization Cert,Site Plan,NOC",Not_Required,70.49,False,False,35.62,Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP620/2024-2025/133301,"Site Plan,Utilization Cert",Pending,76.95,False,False,74.37,"Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202",Standard inspection passed,
WS/MP620/2024-2025/133303,NOC,Not_Required,60.79,False,False,54.29,Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151,Standard inspection passed,
WS/MP620/2024-2025/133304,Utilization Cert,Pending,87.18,False,False,76.27,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP620/2025-2026/133305,"Site Plan,NOC,Utilization Cert",Pending,78.15,False,False,84.54,Construction of Community Hall at Hosategur Village Near Shri Girimalleshwar Math Pry No 518 Continue work,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP620/2024-2025/133306,"NOC,Utilization Cert",Not_Required,98.18,False,False,75.81,Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2,Standard inspection passed,
WS/MP620/2024-2025/133307,NOC,Not_Required,69.09,False,False,34.34,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,Standard inspection passed,
WS/MP620/2024-2025/133308,"Site Plan,NOC,Utilization Cert",Pending,73.58,False,False,68.38,Construction of Community Hall at Mulmuttal Village Near Beereshwar Temple Pry No 67,Standard inspection passed,
WS/MP620/2024-2025/133309,"Utilization Cert,Site Plan",Not_Required,86.8,False,False,0.63,Construction of Community Hall at Nigadi Village Near Kalmeshwar Temple Pry No 101 Continued work,Standard inspection passed,
WS/MP620/2024-2025/133310,"Utilization Cert,NOC",Pending,52.71,False,False,82.56,Construction of Cultural Bhavan at Parsapur Village Near Hanuman Temple Pry No 107,Standard inspection passed,
WS/MP620/2024-2025/133311,"Site Plan,Utilization Cert,NOC",Pending,76.88,False,False,57.82,Construction of Cultural Bhavan at Chabbi Village Near Vithobha Temple Pry No 266/A,Standard inspection passed,"Weather delays, Vendor issues"
WS/MP620/2024-2025/133312,NOC,Received,58.04,False,False,74.36,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,Issues found on site,"Weather delays, Vendor issues"
WS/MP418/2024-2025/133409,"Utilization Cert,NOC",Pending,96.54,False,False,10.96,"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",Standard inspection passed,
